region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Минск,Первомайский,Минск,"ул. Уручская, 9, общежитие государственного учреждения «Домоуправление № 1 Минского эксплуатационного управления Вооруженных Сил»",52,07-006-0052,2211,1468,1465,884,39.98190863862506,12,569,39,71,961,65.59726962457337,115,7.849829351535837,35,202,42,2324,2,854
Минск,Первомайский,Минск,"ул. Фогеля, 1, Клуб «Ракетчик» учреждения образования «Военная академия Республики Беларусь»",54,07-006-0054,2541,1826,1824,1012,39.82683982683983,5,809,46,79,1159,63.541666666666664,41,2.2478070175438596,39,246,214,2670,3,841
Минск,Первомайский,Минск,"ул. Фогеля, 1, Клуб «Ракетчик» учреждения образования «Военная академия Республики Беларусь»",55,07-006-0055,2274,1959,1956,1515,66.62269129287598,2,439,28,34,1449,74.079754601227,59,3.016359918200409,14,372,NA,NA,NA,NA
Минск,Первомайский,Минск,"ул. Беляева, 25, государственное учреждение  образования «Средняя школа № 94 г. Минска»",56,07-006-0056,2879,1936,1933,1089,37.82563390065995,2,842,51,93,1241,64.20072426280393,401,20.74495602690119,44,3,100,3025,4,1085
Минск,Первомайский,Минск,"Военный городок «Уручье», Войсковая часть 29766",57,07-006-0057,2825,2177,2175,957,33.876106194690266,18,1200,65,52,1544,70.98850574712644,93,4.275862068965517,21,400,NA,NA,3,788
Минск,Первомайский,Минск,"ул. Основателей, 24, государственное учреждение «Минское эксплуатационное управление Вооруженных Сил Республики Беларусь»",59,07-006-0059,1991,1719,1716,520,26.117528879959817,26,1196,19,20,886,51.63170163170163,683,39.8018648018648,18,64,26,1851,3,132
Минск,Первомайский,Минск,"ул. Беляева, 25, государственное учреждение образования «Средняя школа № 94 г. Минска»",60,07-006-0060,2319,1562,1559,822,35.44631306597672,61,676,36,70,1018,65.29826812059012,117,7.50481077613855,38,233,47,2437,4,871
Минск,Первомайский,Минск,"Военный городок «Уручье», Войсковая часть 04147",61,07-006-0061,2883,2118,2115,1491,51.716961498439126,26,598,37,47,1464,69.21985815602837,135,6.382978723404255,23,409,NA,NA,NA,NA
Минск,Первомайский,Минск,"ул. Пономарёва, 11, государственное учреждение образования «Средняя школа № 84 г. Минска»",62,07-006-0062,2105,1426,1422,801,38.05225653206651,62,559,39,58,938,65.9634317862166,101,7.10267229254571,37,206,43,2212,1,785
Минск,Первомайский,Минск,"ул. Пономарёва, 11, государственное учреждение образования «Средняя школа № 84 г. Минска»",63,07-006-0063,1906,1478,1476,765,40.136411332633784,16,695,21,40,770,52.1680216802168,568,38.482384823848236,32,4,4,2003,3,522
