region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Витебская,Оршанский,Орша,"ул. Советская, 75, государственное учреждение образования Средняя школа № 6 г. Орши“.",21,02-075-0021,1736,1493,1493,647,37.26958525345622,56,790,7,19,1254,83.99196249162759,98,6.5639651707970526,16,99,NA,NA,NA,NA
Витебская,Оршанский,Орша,"ул. Ивана Флёрова, 13, государственное учреждение образования ”Средняя школа № 20 г. Орши“.",28,02-075-0028,2313,2012,2012,815,35.23562472978816,104,1093,6,14,1690,83.99602385685884,141,7.007952286282307,10,142,9,2426,NA,414
Витебская,Оршанский,Орша,"ул. Александра Пушкина, 15, государственное учреждение образования ”Средняя школа № 21 г. Орши“.",33,02-075-0033,1473,1340,1340,603,40.936863543788185,154,583,5,23,1192,88.95522388059702,35,2.6119402985074625,11,47,27,1545,0,205
Витебская,Оршанский,Орша,"ул. Ивана Якубовского, 73б, государственное учреждение образования ”Средняя школа № 13 г. Орши“.",38,02-075-0038,2402,2041,2040,998,41.54870940882598,143,900,48,23,1734,85,185,9.068627450980392,16,17,18,2331,1,289
Витебская,Оршанский,Орша,"ул. Ивана Якубовского, 42, государственное учреждение образования ”Средняя школа № 13 г. Орши“.",43,02-075-0043,2175,1892,1892,779,35.81609195402299,190,923,12,38,1608,84.98942917547568,101,5.338266384778013,15,118,NA,NA,NA,NA
Витебская,Оршанский,Орша,"ул. Красногвардейская, 5а, здание Оршанской дистанции электроснабжения транспортного республиканского унитарного предприятия ”Минское отделение Белорусской железной дороги“.",49,02-075-0049,1018,898,898,311,30.55009823182711,181,406,6,16,772,85.96881959910914,36,4.008908685968819,8,51,9,1068,NA,170
Витебская,Оршанский,Орша,"ул. Леонида Красина, За, государственное учреждение образования ”Средняя школа № 14 г. Орши“.",51,02-075-0051,1026,948,948,379,36.939571150097464,75,494,9,14,796,83.96624472573839,81,8.544303797468354,11,33,4,1076,NA,128
Витебская,Оршанский,г. Барань,"ул. Оршанская, 11, общежитие № 3 коммунального унитарного предприятия по содержанию коммунального хозяйства ”Оршакомхоз“.",52,02-075-0052,2234,1952,1952,744,33.3034914950761,26,1182,12,53,1668,85.45081967213115,87,4.456967213114754,20,112,NA,NA,NA,NA
Витебская,Оршанский,г. Барань,"ул. Владимира Корбана, 8, государственное учреждение образования ”Средняя школа № 15 г. Барани“.",53,02-075-0053,1791,1523,1517,501,27.97319932998325,162,854,48,19,1238,81.60843770599868,112,7.382992748846408,26,74,NA,NA,NA,NA
Витебская,Оршанский,г. Барань,"ул. Советская 2-я, 1а, государственное учреждение образования Гимназия г. Барани“.",56,02-075-0056,921,805,804,206,22.36699239956569,147,451,5,9,675,83.95522388059702,54,6.7164179104477615,7,54,NA,NA,NA,NA
Витебская,Оршанский,г.п. Болбасово,"ул. Сергея Грицевца, 17, Государственное учреждение культуры ”Дом культуры г.п. Болбасово Оршанского района“.",59,02-075-0059,1443,1309,1309,515,35.68953568953569,89,705,5,12,1102,84.18640183346065,72,5.500381970970206,9,109,NA,NA,NA,NA
Витебская,Оршанский,г.п. Ореховск,"ул. БелГРЭС, 22а, Ореховский сельский исполнительный комитет.",70,02-075-0070,1789,1620,1620,490,27.38960313024036,111,1019,14,21,1362,84.07407407407408,73,4.506172839506172,18,132,NA,NA,NA,NA
Витебская,Оршанский,аг. Бабиничи,"ул. Школьная, 2, государственное учреждение образования ”Бабиничская средняя школа Оршанского района“.",75,02-075-0075,1725,1554,1554,593,34.3768115942029,13,948,17,30,1298,83.52638352638353,182,11.711711711711711,15,10,2,NA,NA,NA
Витебская,Полоцкий,Полоцк,"ул.Юбилейная, д.7, государственное учреждение культуры «Центр культуры «Полоцк».",1,02-076-0001,1536,1330,1322,369,24.0234375,159,794,12,6,1150,86.9894099848714,88,6.656580937972769,13,53,NA,NA,NA,NA
Витебская,Полоцкий,Полоцк,"ул.Хруцкого, д.24, государственное учреждение образования «Средняя школа № 18 имени Евфросинии Полоцкой г.Полоцка».",8,02-076-0008,2082,1936,1936,837,40.20172910662824,9,1090,45,11,1221,63.06818181818182,546,28.202479338842974,18,95,NA,NA,NA,NA
