region,district,town,address,station_num,station_code,total_const,received_ballot,voted_total,voted_early,early_perc,voted_home,voted_at_station,dmitr,kanop,luka,luka_perc,tikha,tikha_perc,chere,against_all,invalid_ballots,received_by_comission,damaged_ballots,unused_ballots
Минск,Заводской,Минск,"ул. Бачило, 26, государственное учреждение образования «Средняя школа № 200 г.Минска»",28,07-001-0028,1268,812,806,408,32.17665615141956,5,393,16,56,501,62.15880893300248,123,15.260545905707195,42,89,5,1675,0,739
Минск,Заводской,Минск,"ул. Бачило, 38, государственное учреждение образования «Средняя школа № 186 г.Минска»",29,07-001-0029,2213,1394,1382,758,34.2521464075915,12,617,26,94,828,59.913169319826345,216,15.629522431259044,75,143,NA,NA,NA,NA
Минск,Заводской,Минск,"ул. Шабаны, 15, государственное учреждение образования «Средняя школа № 142 г.Минска»",32,07-001-0032,2083,1312,1301,695,33.36533845415266,11,595,17,52,796,61.183704842428895,183,14.066102997694083,26,206,15,2165,2,851
Минск,Заводской,Минск,"ул. Шабаны, 15, государственное учреждение образования «Средняя школа № 142 г.Минска»",34,07-001-0034,1903,1161,1151,630,33.105622700998424,14,507,23,79,708,61.51172893136403,100,8.688097306689835,59,167,15,1985,2,822
Минск,Заводской,Минск,"ул. Шабаны, 15, государственное учреждение образования «Средняя школа № 142 г.Минска»",35,07-001-0035,1810,1086,1076,642,35.469613259668506,22,412,26,82,641,59.572490706319705,162,15.055762081784389,53,88,24,190,NA,81
Минск,Заводской,Минск,"ул. Уборевича, 74, государственное учреждение образования «Средняя школа № 131 г.Минска»",37,07-001-0037,1414,848,841,466,32.95615275813296,7,368,18,62,534,63.49583828775267,125,14.863258026159334,45,60,11,1365,1,550
Минск,Заводской,Минск,"ул. Уборевича, 74, государственное учреждение образования «Средняя школа № 131 г.Минска»",38,07-001-0038,1302,814,807,433,33.25652841781874,31,343,16,61,497,61.58612143742255,121,14.993804213135068,41,71,NA,NA,NA,NA
Минск,Заводской,Минск,"ул. Ауэзова, 5, государственное учреждение образования «Средняя школа № 143 г.Минска им. М.О. Ауэзова»",39,07-001-0039,1927,1253,1248,605,31.395952257394917,42,601,28,91,767,61.458333333333336,188,15.064102564102564,63,92,19,1930,0,677
Минск,Заводской,Минск,"ул. Ауэзова, 5, государственное учреждение образования «Средняя школа № 143 г.Минска им. М.О. Ауэзова»",40,07-001-0040,1745,1081,1068,557,31.919770773638966,15,496,31,81,632,59.176029962546814,163,15.262172284644196,56,89,16,1785,NA,704
Минск,Заводской,Минск,"проезд Ташкентский, 3, государственное учреждение «Централизованная система государственных публичных библиотек г. Минска» Библиотека – филиал  № 11",42,07-001-0042,1331,812,802,233,17.50563486100676,22,547,25,63,397,49.50124688279301,149,18.5785536159601,52,106,10,1360,1,547
